,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
4735519,3,6986.06,322904.18,315918.12,0.0,0.0
1931271,1,19244.9,19244.9,0.0,264512.88,283757.78
2792358,1,332151.67,332151.67,0.0,0.0,332151.67
6112212,1,210525.95,210525.95,0.0,461327.69,671853.64
6273112,4,17484.29,17484.29,0.0,0.0,0.0
2831645,1,73230.68,15318.0,0.0,0.0,73230.68
4074697,3,433.39,207451.68,207018.29,0.0,0.0
5437639,3,3066.54,0.0,0.0,0.0,0.0
5387047,3,14618.2,20983.0,6364.8,0.0,0.0
4932994,4,257988.47,257988.47,0.0,0.0,0.0
5994337,1,10000000.0,10000000.0,0.0,0.0,10000000.0
2320214,3,8213.9,349243.38,341029.48,0.0,0.0
2625068,0,346000.37,12134824.19,12480824.55,5009319.23,4663318.87
3741976,1,97392.76,102194.0,4801.24,0.0,97392.76
1030475,4,2322909.69,2322909.69,0.0,0.0,0.0
5081311,1,216557.08,200.0,0.0,0.0,216557.08
6021372,4,1455382.05,1455382.05,0.0,0.0,0.0
1043769,3,16277.14,3161.0,0.0,0.0,0.0
3183157,0,161249.49,2837.0,164086.49,899978.04,738728.56
1324617,0,360765.08,4663695.31,5024460.39,1674242.74,1313477.66
128526,1,226881.87,19646.51,0.0,12250609.99,12477491.86
4686766,3,16235.57,340527.54,324291.96,0.0,0.0
3875268,4,159581.28,0.0,0.0,328236.64,487817.92
6259953,1,269692.53,269692.53,0.0,2248741.77,2518434.3
5792470,1,19511.35,19511.35,0.0,18785.78,38297.13
6061814,1,1318024.48,1318024.48,0.0,544.32,1318568.8
6034792,4,1048.63,1048.63,0.0,0.0,0.0
6040738,4,934314.89,934314.89,0.0,0.0,0.0
6019706,4,585396.14,585396.14,0.0,0.0,0.0
2835059,1,132151.77,0.0,0.0,236626.0,0.0
4319431,4,987756.6,302.0,0.0,0.0,987756.6
4785679,1,908228.29,908228.29,0.0,0.0,908228.29
5976872,3,7402.35,0.0,0.0,0.0,0.0
235294,1,337834.39,44898.0,0.0,2111966.18,2449800.57
4291176,1,69023.72,5268.0,0.0,137061.41,206085.14
4181015,1,438911.63,0.0,0.0,939361.56,1378273.19
5563506,1,10000000.0,10000000.0,0.0,1950323.28,11950323.28
140513,1,20037.82,10834.0,0.0,1514.0,22524.74
1796716,3,7528.56,40416.0,32887.44,0.0,0.0
6012194,1,72322.83,0.0,0.0,174455.21,246778.05
3237333,1,113278.04,21372.0,0.0,0.0,113278.04
6044575,1,1122827.94,1122827.94,0.0,257056.52,1379884.46
3646551,4,881603.06,0.0,0.0,1312538.27,2194141.33
6039583,4,7576324.61,7576324.61,0.0,0.0,0.0
5548304,0,304960.35,29069793.52,29374753.87,609160.34,304199.99
301801,4,170.0,170.0,0.0,0.0,0.0
6008687,1,207801.38,207801.38,0.0,0.0,207801.38
6194196,4,1351104.53,1351104.53,0.0,0.0,0.0
4329729,1,101060.43,0.0,0.0,340184.11,441244.54
2835294,3,6543.26,191910.0,185366.74,0.0,0.0
4645692,4,9198459.96,9198459.96,0.0,0.0,0.0
1106652,4,201988.55,201988.55,0.0,0.0,0.0
5040725,4,375419.35,375419.35,0.0,0.0,0.0
4820170,1,103838.49,135.0,0.0,80470.6,184309.09
3960123,1,559565.82,559565.82,0.0,310264.17,869829.99
4147840,1,263501.02,8034.0,0.0,1530469.93,1793970.95
2382147,1,553399.25,553399.25,0.0,147929.48,701328.74
6362594,4,144945.34,144945.34,0.0,0.0,0.0
2666315,1,10245.68,0.0,0.0,3901801.34,3912047.02
1932198,1,98634.75,98634.75,0.0,966049.7,1064684.45
4388763,1,247455.25,247455.25,0.0,2691845.54,2939300.79
3782689,1,94178.07,0.0,0.0,645062.67,739240.74
5517871,4,259820.39,259820.39,0.0,0.0,0.0
4342627,1,45858.49,0.0,0.0,68207.22,114065.72
6117689,1,398711.68,398711.68,0.0,652931.8,1051643.49
6168337,1,22824.08,22824.08,0.0,22244.35,45068.43
3279432,4,149350.35,0.0,0.0,1514025.88,1663376.23
6168674,1,131050.76,131050.76,0.0,5291949.84,5423000.6
33913,4,29707.86,29707.86,0.0,0.0,0.0
5990454,1,452261.67,452261.67,0.0,577217.57,1029479.24
6001567,1,474195.1,474195.1,0.0,0.0,474195.1
6019902,4,167806.93,167806.93,0.0,0.0,0.0
5301176,4,152314.49,152314.49,0.0,0.0,0.0
6118822,1,34238.2,34238.2,0.0,300369.39,334607.59
6100210,1,101408.84,101408.84,0.0,0.0,101408.84
6055672,1,918087.96,918087.96,0.0,322224.88,1240312.84
